newGenes,newPval,newRval,newData_ 1,newData_ 2,newData_ 3,newData_ 4,newData_ 5,newData_ 6,newData_ 7,newData_ 8,newData_ 9,newData_10,newData_11,newData_12,newData_13,newData_14,newData_15,newData_16,newData_17,newData_18
YPL219W,2.00397642372032e-05,0.830262132897315,-0.12,0.05,0.22,0.06,0.22,0.24,0.13,0.03,-0.16,-0.08,-0.14,-0.18,-0.24,-0.44,-0.08,0.01,0.08,0.39
YCR045C,0.000334822011204575,0.750307716297627,-0.37,-0.43,0.18,0.1,0.12,0.29,0.06,0.06,-0.18,0,-0.28,-0.3,-0.14,-0.02,0.06,0.39,0.22,0.27
YPR078C,0.000535508828353288,0.733241910146998,0.41,-0.14,0.35,0.06,0.27,0.41,0.27,-0.01,-0.25,-0.36,-0.42,-0.52,-0.15,-0.19,-0.19,-0.15,0.33,0.28
YOL088C,0.000587009089134118,0.729751265567074,-0.33,-0.11,0.06,0.12,0.37,0.15,0.51,0.1,0.12,-0.21,-0.51,-0.48,-0.04,-0.51,0.32,-0.08,0.41,0.12
YOR298W,0.000588383383607241,0.729661686861083,-0.16,0.11,0.05,0.2,0.03,0.23,0.2,0.18,-0.16,-0.26,-0.5,-0.28,-0.01,-0.16,0.01,-0.36,0.33,0.57
YPL203W,0.000762808635225475,0.719499872484388,0.05,0.08,0.47,-0.05,0.1,0.32,0.03,-0.19,-0.19,-0.12,-0.14,-0.41,-0.27,-0.17,0.14,-0.1,0.35,0.1
YNL314W,0.000782438864970313,0.718481885034718,0.1,-0.33,0.01,0.13,0.4,0.32,0.13,-0.1,-0.15,-0.18,-0.03,-0.27,-0.1,-0.29,-0.15,-0.05,0.27,0.3
YPL072W,0.000839573594312615,0.715635703535068,-0.15,-0.09,-0.02,0.09,-0.03,0.44,0.35,0.31,-0.06,-0.23,-0.49,-0.21,-0.06,-0.33,0.02,-0.12,0.28,0.31
YNL260C,0.000988714148020353,0.708902774368689,-0.03,0.08,-0.01,0.07,0.1,0.28,0.21,0.08,-0.03,-0.28,-0.19,-0.4,-0.08,-0.49,-0.08,-0.16,0.12,0.81
YOR013W,0.00103484410359602,0.706992062869102,0.09,-0.14,0.22,-0.16,0.41,0.32,0.29,-0.18,-0.12,-0.14,-0.3,-0.39,0.01,-0.51,-0.04,-0.01,0.11,0.53
YJL105W,0.0010424138124282,0.706685325870777,-0.42,0.07,0.1,0.12,0.37,0.28,0.39,-0.05,-0.15,0.03,-0.57,-0.27,-0.13,-0.04,0.07,-0.09,0.42,-0.13
YOR227W,0.00136306685524783,0.695131697838783,-0.41,-0.27,0.46,0.22,0.36,0.49,0.04,-0.41,-0.29,-0.25,-0.04,-0.02,-0.2,-0.21,0.09,0.01,0.07,0.38
YOR069W,0.00146693071854484,0.691875483968598,0.03,-0.14,0.08,0.08,0.37,0.37,0.12,-0.03,-0.11,-0.08,0,-0.21,-0.21,-0.46,0,-0.08,0.07,0.2
YOR181W,0.00167136873880991,0.685988330197366,-0.02,0.29,0.22,0.07,0.16,0.16,0.1,0.07,-0.13,0.06,-0.3,-0.2,-0.23,-0.21,-0.18,-0.05,0.24,-0.05
YOR231W,0.00185053402176825,0.681300679823967,0.11,-0.19,0.22,0.08,0.25,0.53,0.27,0.03,-0.03,-0.16,-0.25,-0.43,-0.19,-0.41,0.07,-0.19,0.41,-0.1
YOR352W,0.00209860503371298,0.675394258749794,0,0.27,0.15,0.01,0.11,0.11,0.2,-0.16,-0.05,-0.14,-0.26,-0.22,-0.16,-0.14,-0.22,-0.18,0.09,0.59
