rnewData_ 1,rnewData_ 2,rnewData_ 3,rnewData_ 4,rnewData_ 5,rnewData_ 6,rnewData_ 7,rnewData_ 8,rnewData_ 9,rnewData_10,rnewData_11,rnewData_12,rnewData_13,rnewData_14,rnewData_15,rnewData_16,rnewData_17,rnewData_18
-0.08,0.06,-0.06,-0.06,0.1,0.15,0.15,0.13,-0.02,0.11,-0.16,-0.19,-0.14,-0.33,-0.06,-0.05,0.06,0.38
-0.3,-0.42,0.16,-0.07,0.15,0.44,0.3,0.3,0.24,-0.14,0.04,-0.31,-0.2,-0.4,0.13,-0.11,0.23,-0.04
-0.04,-0.17,0.06,-0.15,0.13,0.47,0.18,0.13,-0.03,-0.17,-0.2,-0.14,-0.1,-0.27,-0.19,0,0.38,0.1
-0.51,-0.08,0.05,0.39,-0.03,0.44,0.36,-0.05,-0.06,0.02,-0.45,-0.26,-0.08,-0.1,0.27,-0.11,0.22,-0.01
-0.15,0.01,0.04,-0.06,0.25,0.24,0.05,0.18,0.12,0.01,0.01,-0.11,-0.2,-0.32,-0.14,-0.12,0.21,-0.02
-0.29,-0.36,-0.13,0.14,0.16,0.28,0.41,0.2,-0.16,-0.13,-0.34,-0.26,0.02,-0.08,0.2,0.04,0.3,-0.03
0.03,-0.23,0.17,-0.13,0.06,0.32,0.29,0.14,-0.08,-0.05,-0.1,-0.23,-0.24,-0.32,0.09,-0.1,0.17,0.22
-0.23,0.04,0.1,0.13,0.2,0.4,0.1,0.15,-0.1,-0.25,-0.2,-0.16,0.04,-0.52,0.08,-0.5,0.27,0.45
-0.25,-0.14,0.21,-0.05,0.18,0.44,-0.12,0.14,-0.15,0.05,-0.19,-0.23,-0.1,-0.19,-0.1,-0.23,0,0.73
-0.43,-0.54,-0.57,0.01,0.2,0.31,0.51,0.15,-0.16,0.03,-0.16,-0.19,-0.07,-0.33,0.19,0.16,0.56,0.35
-0.08,-0.13,-0.1,0,0.2,0.4,0.49,-0.01,0.08,-0.25,-0.25,-0.08,-0.08,-0.19,0,-0.15,0.13,0.03
0.05,-0.27,-0.01,-0.11,0.26,0.7,0.5,0.17,-0.09,-0.13,-0.27,-0.33,-0.31,-0.29,0.09,-0.03,-0.13,0.22
